name,minLon,minLat,maxLon,maxLat
10SE21A(e822n812:e823n813).tif,114.0433001,22.25212125,114.0505779,22.25754658
10SE21B(e823n812:e824n813).tif,114.0505735,22.25712957,114.0512819,22.25755081
10SE21C(e822n812:e823n812).tif,114.0433054,22.2467029,114.0469748,22.25212398
10SE6A(e822n816:e823n816).tif,114.0432663,22.2846317,114.0471427,22.29005859
10SE6B(e823n816:e824n816).tif,114.0568906,22.28777094,114.0578282,22.28938888
10SE6C(e822n815:e823n816).tif,114.0432849,22.28011505,114.0475164,22.28462617
10SE7A(e824n816:e824n816).tif,114.057824,22.2875953,114.0606998,22.28984675
10SE8A(e825n816:e826n816).tif,114.0743187,22.28465408,114.0796635,22.28703811
10SE8B(e826n816:e827n816).tif,114.0796644,22.28525156,114.079882,22.28702874
10SE8C(e825n815:e826n816).tif,114.0738925,22.28194098,114.0796655,22.28466443
10SE8D(e826n815:e827n816).tif,114.0796628,22.28240131,114.079953,22.28372532
10SW10A(e821n816:e821n816).tif,114.0317162,22.2868652,114.0359957,22.29004642
10SW10B(e821n816:e822n816).tif,114.0359933,22.28462609,114.0432751,22.29005435
10SW10D(e821n815:e822n816).tif,114.0368569,22.27975552,114.0432798,22.28462934
10SW11A(e815n815:e815n815).tif,113.9705073,22.27371867,113.977792,22.27914905
10SW11B(e815n815:e816n815).tif,113.9777849,22.27372797,113.985069,22.27915796
10SW11C(e815n814:e815n815).tif,113.9705146,22.26830027,113.9777989,22.27373041
10SW11D(e815n814:e816n815).tif,113.9777921,22.2683096,113.9850765,22.27373976
10SW12A(e816n815:e817n815).tif,113.9850619,22.27373656,113.9923463,22.27916673
10SW12B(e817n815:e818n815).tif,113.9923394,22.27374499,113.9996234,22.27917489
10SW12C(e816n814:e817n815).tif,113.9850693,22.26831842,113.9923534,22.27374838
10SW12D(e817n814:e818n815).tif,113.9923453,22.26832652,113.9996273,22.27375493
10SW13A(e818n815:e818n815).tif,113.999617,22.27375319,114.0069004,22.27918261
10SW13B(e818n815:e819n815).tif,114.0068942,22.27376079,114.0141775,22.27919016
